Postal Code,Date,Sentiment,Year
80120,2023-12-31,Positive,2023
80211,2023-12-31,Negative,2023
80221,2023-12-31,Positive,2023
80238,2023-12-31,Positive,2023
80204,2023-12-31,Positive,2023
80211,2023-12-31,Positive,2023
80204,2023-12-31,Negative,2023
80016,2023-12-31,Positive,2023
80238,2023-12-31,Positive,2023
80238,2023-12-31,Negative,2023
80002,2023-12-31,Positive,2023
80211,2023-12-31,Negative,2023
80234,2023-12-31,Positive,2023
80221,2023-12-31,Neutral,2023
80221,2023-12-31,Negative,2023
80002,2023-12-31,Positive,2023
80120,2023-12-31,Negative,2023
80120,2023-12-31,Positive,2023
80002,2023-12-31,Positive,2023
80016,2023-12-31,Neutral,2023
80219,2023-12-31,Positive,2023
80238,2023-12-31,Neutral,2023
80238,2023-12-31,Neutral,2023
80211,2023-12-31,Positive,2023
80204,2023-12-31,Positive,2023
80016,2023-12-31,Positive,2023
80014,2023-12-31,Positive,2023
80211,2023-12-31,Positive,2023
80234,2023-12-31,Negative,2023
80002,2023-12-31,Positive,2023
80234,2023-12-31,Positive,2023
80016,2023-12-31,Positive,2023
80234,2023-12-31,Positive,2023
80234,2023-12-31,Negative,2023
80219,2023-12-31,Positive,2023
80002,2023-12-31,Negative,2023
80016,2023-12-31,Negative,2023
80234,2023-12-31,Negative,2023
80016,2023-12-31,Neutral,2023
80016,2023-12-31,Negative,2023
80211,2023-12-31,Negative,2023
80002,2023-12-31,Positive,2023
80234,2023-12-31,Positive,2023
80204,2023-12-31,Positive,2023
80219,2023-12-31,Negative,2023
80002,2023-12-31,Neutral,2023
80221,2023-12-31,Positive,2023
80238,2023-12-31,Positive,2023
80221,2023-12-31,Negative,2023
80120,2023-12-31,Neutral,2023
80211,2023-12-31,Positive,2023
80219,2023-12-31,Positive,2023
80204,2023-12-31,Neutral,2023
80016,2023-12-31,Positive,2023
80002,2023-12-31,Neutral,2023
80238,2023-12-31,Negative,2023
80014,2023-12-31,Positive,2023
80016,2023-12-31,Positive,2023
80238,2023-12-31,Neutral,2023
80211,2023-12-31,Neutral,2023
80016,2023-12-31,Neutral,2023
80234,2023-12-30,Neutral,2023
80014,2023-12-30,Positive,2023
80002,2023-12-30,Positive,2023
80234,2023-12-30,Positive,2023
80120,2023-12-30,Positive,2023
80204,2023-12-30,Neutral,2023
80002,2023-12-30,Negative,2023
80234,2023-12-30,Positive,2023
